1.0,True,0,21.0,21,20
1.0,True,1,13.0,13,33
1.0,True,2,38.0,38,71
1.0,True,3,25.0,25,96
1.0,True,4,25.0,25,121
1.0,True,5,11.0,11,132
1.0,True,6,24.0,24,156
1.0,True,7,19.0,19,175
1.0,True,8,17.0,17,192
1.0,True,9,19.0,19,211
1.0,True,10,15.0,15,226
1.0,True,11,25.0,25,251
1.0,True,12,18.0,18,269
1.0,True,13,23.0,23,292
1.0,True,14,18.0,18,310
1.0,True,15,61.0,61,371
1.0,True,16,40.0,40,411
1.0,True,17,27.0,27,438
1.0,True,18,12.0,12,450
1.0,True,19,11.0,11,461
1.0,True,20,22.0,22,483
1.0,True,21,8.0,8,491
1.0,True,22,28.0,28,519
1.0,True,23,13.0,13,532
1.0,True,24,12.0,12,544
1.0,True,25,23.0,23,567
1.0,True,26,39.0,39,606
1.0,True,27,17.0,17,623
1.0,True,28,21.0,21,644
1.0,True,29,18.0,18,662
1.0,True,30,22.0,22,684
1.0,True,31,21.0,21,705
1.0,True,32,21.0,21,726
1.0,True,33,10.0,10,736
1.0,True,34,27.0,27,763
1.0,True,35,27.0,27,790
1.0,True,36,11.0,11,801
1.0,True,37,27.0,27,828
1.0,True,38,17.0,17,845
1.0,True,39,36.0,36,881
1.0,True,40,24.0,24,905
1.0,True,41,20.0,20,925
1.0,True,42,14.0,14,939
1.0,True,43,47.0,47,986
1.0,True,44,29.0,29,1015
1.0,True,45,24.0,24,1039
1.0,True,46,12.0,12,1051
1.0,True,47,13.0,13,1064
1.0,True,48,21.0,21,1085
1.0,True,49,12.0,12,1097
1.0,True,50,23.0,23,1120
1.0,True,51,22.0,22,1142
1.0,True,52,12.0,12,1154
1.0,True,53,24.0,24,1178
1.0,True,54,26.0,26,1204
1.0,True,55,22.0,22,1226
1.0,True,56,15.0,15,1241
1.0,True,57,11.0,11,1252
1.0,True,58,10.0,10,1262
1.0,True,59,21.0,21,1283
1.0,True,60,11.0,11,1294
1.0,True,61,21.0,21,1315
1.0,True,62,20.0,20,1335
1.0,True,63,15.0,15,1350
1.0,True,64,15.0,15,1365
1.0,True,65,19.0,19,1384
1.0,True,66,11.0,11,1395
1.0,True,67,15.0,15,1410
1.0,True,68,9.0,9,1419
1.0,True,69,12.0,12,1431
1.0,True,70,20.0,20,1451
1.0,True,71,12.0,12,1463
1.0,True,72,22.0,22,1485
1.0,True,73,24.0,24,1509
1.0,True,74,23.0,23,1532
1.0,True,75,25.0,25,1557
1.0,True,76,75.0,75,1632
1.0,True,77,43.0,43,1675
1.0,True,78,48.0,48,1723
1.0,True,79,141.0,141,1864
1.0,True,80,47.0,47,1911
1.0,True,81,108.0,108,2019
1.0,True,82,41.0,41,2060
1.0,True,83,38.0,38,2098
1.0,True,84,50.0,50,2148
1.0,True,85,49.0,49,2197
1.0,True,86,49.0,49,2246
1.0,True,87,43.0,43,2289
1.0,True,88,56.0,56,2345
1.0,True,89,34.0,34,2379
1.0,True,90,39.0,39,2418
1.0,True,91,47.0,47,2465
1.0,True,92,48.0,48,2513
1.0,True,93,65.0,65,2578
1.0,True,94,69.0,69,2647
1.0,True,95,45.0,45,2692
1.0,True,96,65.0,65,2757
1.0,True,97,33.0,33,2790
1.0,True,98,38.0,38,2828
1.0,True,99,46.0,46,2874
1.0,True,100,74.0,74,2948
1.0,True,101,103.0,103,3051
1.0,True,102,79.0,79,3130
1.0,True,103,27.0,27,3157
1.0,True,104,73.0,73,3230
1.0,True,105,68.0,68,3298
1.0,True,106,83.0,83,3381
1.0,True,107,189.0,189,3570
1.0,True,108,427.0,427,3997
1.0,True,109,280.0,280,4277
1.0,True,110,198.0,198,4475
1.0,True,111,261.0,261,4736
1.0,True,112,192.0,192,4928
1.0,True,113,176.0,176,5104
1.0,True,114,107.0,107,5211
1.0,True,115,164.0,164,5375
1.0,True,116,127.0,127,5502
1.0,True,117,130.0,130,5632
1.0,True,118,191.0,191,5823
1.0,True,119,137.0,137,5960
1.0,True,120,158.0,158,6118
1.0,True,121,122.0,122,6240
1.0,True,122,82.0,82,6322
1.0,True,123,160.0,160,6482
1.0,True,124,87.0,87,6569
1.0,True,125,85.0,85,6654
1.0,True,126,132.0,132,6786
1.0,True,127,105.0,105,6891
1.0,True,128,135.0,135,7026
1.0,True,129,157.0,157,7183
1.0,True,130,120.0,120,7303
1.0,True,131,165.0,165,7468
1.0,True,132,114.0,114,7582
1.0,True,133,170.0,170,7752
1.0,True,134,152.0,152,7904
1.0,True,135,108.0,108,8012
1.0,True,136,157.0,157,8169
1.0,True,137,143.0,143,8312
1.0,True,138,139.0,139,8451
1.0,True,139,116.0,116,8567
1.0,True,140,108.0,108,8675
1.0,True,141,109.0,109,8784
1.0,True,142,112.0,112,8896
1.0,True,143,141.0,141,9037
1.0,True,144,162.0,162,9199
1.0,True,145,164.0,164,9363
1.0,True,146,121.0,121,9484
1.0,True,147,103.0,103,9587
1.0,True,148,104.0,104,9691
1.0,True,149,102.0,102,9793
1.0,True,150,115.0,115,9908
1.0,True,151,132.0,132,10040
1.0,True,152,155.0,155,10195
1.0,True,153,148.0,148,10343
1.0,True,154,132.0,132,10475
1.0,True,155,141.0,141,10616
1.0,True,156,113.0,113,10729
1.0,True,157,124.0,124,10853
1.0,True,158,121.0,121,10974
1.0,True,159,160.0,160,11134
1.0,True,160,244.0,244,11378
1.0,True,161,105.0,105,11483
1.0,True,162,138.0,138,11621
1.0,True,163,112.0,112,11733
1.0,True,164,178.0,178,11911
1.0,True,165,123.0,123,12034
1.0,True,166,146.0,146,12180
1.0,True,167,117.0,117,12297
1.0,True,168,122.0,122,12419
1.0,True,169,178.0,178,12597
1.0,True,170,151.0,151,12748
1.0,True,171,221.0,221,12969
1.0,True,172,109.0,109,13078
1.0,True,173,124.0,124,13202
1.0,True,174,123.0,123,13325
1.0,True,175,144.0,144,13469
1.0,True,176,157.0,157,13626
1.0,True,177,112.0,112,13738
1.0,True,178,172.0,172,13910
1.0,True,179,153.0,153,14063
1.0,True,180,126.0,126,14189
1.0,True,181,117.0,117,14306
1.0,True,182,149.0,149,14455
1.0,True,183,245.0,245,14700
1.0,True,184,170.0,170,14870
1.0,True,185,136.0,136,15006
1.0,True,186,131.0,131,15137
1.0,True,187,253.0,253,15390
1.0,True,188,126.0,126,15516
1.0,True,189,118.0,118,15634
1.0,True,190,110.0,110,15744
1.0,True,191,159.0,159,15903
1.0,True,192,121.0,121,16024
1.0,True,193,169.0,169,16193
1.0,True,194,188.0,188,16381
1.0,True,195,139.0,139,16520
1.0,True,196,159.0,159,16679
1.0,True,197,163.0,163,16842
1.0,True,198,119.0,119,16961
1.0,True,199,123.0,123,17084
1.0,True,200,199.0,199,17283
1.0,True,201,132.0,132,17415
1.0,True,202,135.0,135,17550
1.0,True,203,151.0,151,17701
1.0,True,204,114.0,114,17815
1.0,True,205,148.0,148,17963
1.0,True,206,135.0,135,18098
1.0,True,207,164.0,164,18262
1.0,True,208,109.0,109,18371
1.0,True,209,169.0,169,18540
1.0,True,210,236.0,236,18776
1.0,True,211,139.0,139,18915
1.0,True,212,236.0,236,19151
